episode,epsilon,total_reward,avg_reward,total_shaped_reward,avg_shaped_reward,avg_loss
281,0.8688931343479711,0.0,0.0,-11.749625176375023,-5.8748125881875115,0.007630592270621231
282,0.8684586877807972,2.0,1.0,-7.945250642831808,-3.972625321415904,0.006803155464918486
283,0.8680244584369068,0.0,0.0,-9.397119429880288,-4.698559714940144,0.007056843050356422
284,0.8675904462076884,1.0,0.5,-9.932843720526279,-4.966421860263139,0.006729936421449695
285,0.8671566509845846,1.0,0.5,-7.801062031132651,-3.9005310155663255,0.006520245194302074
286,0.8667230726590923,1.0,0.5,-7.53039008860042,-3.76519504430021,0.006434762907613601
287,0.8662897111227629,1.0,0.5,-8.453687972375215,-4.226843986187608,0.00611642043239304
288,0.8658565662672015,2.0,1.0,-7.987706933314197,-3.9938534666570984,0.006240791166201234
289,0.865423637984068,0.0,0.0,-12.190483040751289,-6.0952415203756445,0.005716998542525938
290,0.864990926165076,1.0,0.5,-7.080212913353796,-3.540106456676898,0.005911488724606378
291,0.8645584307019936,1.0,0.5,-11.06556825241314,-5.53278412620657,0.007871160110059594
292,0.8641261514866426,1.0,0.5,-6.629677524488759,-3.3148387622443796,0.0064513756527698465
293,0.8636940884108993,1.0,0.5,-9.653543660676698,-4.826771830338349,0.00613549525516906
294,0.8632622413666939,2.0,1.0,-5.76832487528455,-2.884162437642275,0.005856891265804214
295,0.8628306102460106,1.0,0.5,-8.844355048977544,-4.422177524488772,0.0055751072409163625
296,0.8623991949408877,1.0,0.5,-8.768990963320785,-4.384495481660393,0.005469893903604576
297,0.8619679953434173,1.0,0.5,-10.062797244450856,-5.031398622225428,0.006018282068627221
298,0.8615370113457457,2.0,1.0,-9.571952992601922,-4.785976496300961,0.005643135863356292
