episode,epsilon,total_reward,avg_reward,avg_loss,steps
319,0.8525359605109053,0.0,0.0,0.0012136310546026965,[]
320,0.8521096925306499,0.0,0.0,0.0012883690387908635,[]
321,0.8516836376843847,1.0,0.5,0.0015559361316263675,[]
322,0.8512577958655425,0.0,0.0,0.0015356386017187364,[]
323,0.8508321669676098,0.0,0.0,0.0015456795213477951,[]
324,0.850406750884126,0.0,0.0,0.0013065647459422638,[]
325,0.8499815475086839,1.0,0.5,0.0014491448784247042,[]
326,0.8495565567349297,0.0,0.0,0.0014192416029982268,[]
327,0.8491317784565623,0.0,0.0,0.0013179946260061116,[]
328,0.8487072125673341,1.0,0.5,0.001155128389946185,[]
329,0.8482828589610505,1.0,0.5,0.0012040233590440558,[]
330,0.84785871753157,1.0,0.5,0.001193065310529034,[]
331,0.8474347881728043,0.0,0.0,0.0011676774390174875,[]
332,0.847011070778718,0.0,0.0,0.001057155352484967,[]
333,0.8465875652433287,0.0,0.0,0.001145745310849244,[]
334,0.846164271460707,0.0,0.0,0.0011301675274236393,[]
335,0.8457411893249768,0.0,0.0,0.0011542426941949608,[]
336,0.8453183187303144,0.0,0.0,0.0011825628259352276,[]
337,0.8448956595709493,1.0,0.5,0.001393289492365771,[]
338,0.8444732117411639,1.0,0.5,0.0012857061789171504,[]
339,0.8440509751352934,1.0,0.5,0.0012160454179892051,[]
340,0.8436289496477257,0.0,0.0,0.001194121895241551,[]
341,0.8432071351729019,0.0,0.0,0.0012087490447031865,[]
342,0.8427855316053156,0.0,0.0,0.0012520846712037123,[]
343,0.8423641388395129,2.0,1.0,0.0012150840671633237,[]
344,0.8419429567700932,0.0,0.0,0.001031209777242371,[]
345,0.8415219852917082,1.0,0.5,0.001109458012423212,[]
346,0.8411012242990624,0.0,0.0,0.0011141425031070996,[]
347,0.8406806736869129,1.0,0.5,0.0010820954436037158,[]
348,0.8402603333500694,0.0,0.0,0.0012070955205542434,[]
349,0.8398402031833945,1.0,0.5,0.001087069604795293,[]
350,0.8394202830818028,2.0,1.0,0.0011731879976910671,[]
351,0.839000572940262,0.0,0.0,0.0011519687659373242,[]
352,0.8385810726537919,0.0,0.0,0.0012557254218596168,[]
353,0.8381617821174651,1.0,0.5,0.0016210040963986622,[]
354,0.8377427012264064,1.0,0.5,0.0015270691956227112,[]
355,0.8373238298757932,0.0,0.0,0.0013158374579091158,[]
356,0.8369051679608553,0.0,0.0,0.0011471944190062848,[]
357,0.8364867153768749,0.0,0.0,0.0013788212282815947,[]
358,0.8360684720191865,1.0,0.5,0.0015797999907850421,[]
359,0.835650437783177,0.0,0.0,0.0014974464309800949,[]
360,0.8352326125642855,1.0,0.5,0.0013704643915739975,[]
361,0.8348149962580034,1.0,0.5,0.0013432891932981354,[]
362,0.8343975887598745,0.0,0.0,0.0013511711919480668,[]
363,0.8339803899654946,0.0,0.0,0.0013123316851644112,[]
364,0.833563399770512,0.0,0.0,0.0011651848661546995,[]
365,0.8331466180706267,0.0,0.0,0.0012365076060606433,[]
366,0.8327300447615915,0.0,0.0,0.0011997570589716946,[]
367,0.8323136797392108,0.0,0.0,0.0011857333350261407,[]
368,0.8318975228993413,2.0,1.0,0.0012654390549453507,[]
369,0.8314815741378917,2.0,1.0,0.0016841044620377944,[]
370,0.8310658333508228,0.0,0.0,0.0016537045484541783,[]
371,0.8306503004341474,1.0,0.5,0.0015064451171617423,[]
372,0.8302349752839304,0.0,0.0,0.0013243645042114493,[]
373,0.8298198577962885,1.0,0.5,0.0012564862183561283,[]
374,0.8294049478673904,0.0,0.0,0.0013155985056489173,[]
375,0.8289902453934568,0.0,0.0,0.0010883379471488296,[]
376,0.8285757502707601,1.0,0.5,0.0010032120844282741,[]
377,0.8281614623956248,0.0,0.0,0.0009816467281364436,[]
378,0.8277473816644271,0.0,0.0,0.0009916537990959894,[]
379,0.827333507973595,0.0,0.0,0.000996598222825144,[]
380,0.8269198412196082,0.0,0.0,0.000916562936534839,[]
381,0.8265063812989984,0.0,0.0,0.0008588375573162921,[]
382,0.826093128108349,0.0,0.0,0.0008854172216628545,[]
383,0.8256800815442948,0.0,0.0,0.0009797757663597751,[]
384,0.8252672415035227,0.0,0.0,0.0010236644987266378,[]
385,0.824854607882771,1.0,0.5,0.0014005332268841033,[]
386,0.8244421805788297,0.0,0.0,0.0013709657808067277,[]
387,0.8240299594885403,1.0,0.5,0.0012714867565747617,[]
388,0.8236179445087961,0.0,0.0,0.0011794058385670983,[]
389,0.8232061355365418,0.0,0.0,0.0013721854184820716,[]
390,0.8227945324687735,0.0,0.0,0.0011513763673636796,[]
391,0.8223831352025393,1.0,0.5,0.0011215632023855245,[]
392,0.821971943634938,0.0,0.0,0.0010625003783830574,[]
393,0.8215609576631205,0.0,0.0,0.0011735919150357534,[]
394,0.8211501771842891,0.0,0.0,0.0010307444325215848,[]
395,0.820739602095697,2.0,1.0,0.0010903833144610482,[]
396,0.8203292322946492,0.0,0.0,0.0009519936605855556,[]
397,0.8199190676785019,1.0,0.5,0.0009314578627735111,[]
398,0.8195091081446627,0.0,0.0,0.0009000506303605757,[]
399,0.8190993535905904,1.0,0.5,0.0010256550278947023,[]
400,0.8186898039137951,0.0,0.0,0.0009898639188447435,[]
401,0.8182804590118382,2.0,1.0,0.0012564007799872863,[]
402,0.8178713187823323,0.0,0.0,0.001158399328622701,[]
403,0.8174623831229412,1.0,0.5,0.0010455064152899598,[]
404,0.8170536519313798,1.0,0.5,0.0009732925876076999,[]
405,0.8166451251054142,0.0,0.0,0.0011917044725435386,[]
406,0.8162368025428616,1.0,0.5,0.0011734560956080844,[]
407,0.8158286841415902,0.0,0.0,0.00111713795756389,[]
408,0.8154207697995194,1.0,0.5,0.0010881772688091068,[]
409,0.8150130594146197,1.0,0.5,0.001091902226242902,[]
410,0.8146055528849124,1.0,0.5,0.0011772531048128648,[]
411,0.81419825010847,1.0,0.5,0.0012475159673652212,[]
412,0.8137911509834158,0.0,0.0,0.001137707987176587,[]
413,0.8133842554079241,0.0,0.0,0.0011873404808907903,[]
414,0.8129775632802202,0.0,0.0,0.0012313153991375917,[]
415,0.8125710744985801,1.0,0.5,0.0011952109461916345,[]
416,0.8121647889613309,0.0,0.0,0.0012334067609793106,[]
417,0.8117587065668503,0.0,0.0,0.0014257717421943589,[]
418,0.8113528272135669,1.0,0.5,0.0015019474747324628,[]
419,0.8109471507999602,2.0,1.0,0.0014095940440893174,[]
420,0.8105416772245603,2.0,1.0,0.001273292267578654,[]
421,0.8101364063859481,1.0,0.5,0.001533088410506025,[]
422,0.8097313381827551,1.0,0.5,0.001505140322925789,[]
423,0.8093264725136637,0.0,0.0,0.0014044714027217457,[]
424,0.808921809277407,1.0,0.5,0.0012778852881664144,[]
425,0.8085173483727683,0.0,0.0,0.0013633333701207969,[]
426,0.808113089698582,0.0,0.0,0.0013066188349953986,[]
427,0.8077090331537328,0.0,0.0,0.0013093638598885653,[]
428,0.8073051786371559,0.0,0.0,0.0014060374400079517,[]
429,0.8069015260478374,1.0,0.5,0.0013143023303876231,[]
430,0.8064980752848135,0.0,0.0,0.00129001188732218,[]
431,0.8060948262471712,0.0,0.0,0.0013063367529373084,[]
432,0.8056917788340476,0.0,0.0,0.0012784612211232474,[]
433,0.8052889329446307,1.0,0.5,0.0015623898662826313,[]
434,0.8048862884781584,4.0,2.0,0.0016023245655066732,[]
435,0.8044838453339194,1.0,0.5,0.0016322245264226304,[]
436,0.8040816034112525,1.0,0.5,0.0015775503258087806,[]
